time,open,high,low,close,tick_volume,spread,real_volume,ema_200,ema_117,ema_50,atr,atr_smma_fast,atr_smma_slow,heikin_close,heikin_open,heikin_high,heikin_low,tlb,price_density,kama,efficiency_ratio
2022-07-08 15:39:00,1.01399,1.01448,1.01394,1.01412,202.0,0,0.0,1.0143,1.01471,1.0151,0.0,,0.0,1.01413,1.0143369052610418,1.01448,1.01394,-1.0,3.3441295546558814,,
2022-07-08 15:40:00,1.01413,1.01415,1.01362,1.01378,204.0,0,0.0,1.0143,1.0147,1.01505,0.0,,0.0,1.01392,1.014233452630521,1.014233452630521,1.01362,-1.0,3.4937759336099177,,
2022-07-08 15:41:00,1.01373,1.01373,1.0129,1.01305,242.0,0,0.0,1.01428,1.01467,1.01497,0.0,,0.0,1.01335,1.0140767263152606,1.0140767263152606,1.0129,-1.0,3.5726141078837856,,
2022-07-08 15:42:00,1.01306,1.01367,1.01304,1.01363,240.0,0,0.0,1.01428,1.01465,1.01492,0.0,,0.0,1.01335,1.0137133631576305,1.0137133631576305,1.01304,-1.0,3.676348547717798,,
2022-07-08 15:43:00,1.01364,1.01383,1.01306,1.01322,219.0,0,0.0,1.01427,1.01463,1.01485,0.0,0.0,0.0,1.01344,1.0135316815788151,1.01383,1.01306,-1.0,3.8516949152542086,,
2022-07-08 15:44:00,1.01324,1.01394,1.01321,1.01339,233.0,0,0.0,1.01426,1.01461,1.01479,0.0,0.0,0.0,1.01344,1.0134858407894076,1.01394,1.01321,1.0,4.043859649122852,,
2022-07-08 15:45:00,1.01337,1.01358,1.01305,1.01317,223.0,0,0.0,1.01425,1.01458,1.01473,0.0,0.0,0.0,1.01329,1.0134629203947036,1.01358,1.01305,1.0,4.270089285714219,,
2022-07-08 15:46:00,1.01319,1.01321,1.01227,1.0124,254.0,0,0.0,1.01423,1.01454,1.01464,0.0,0.0,0.0,1.01277,1.0133764601973518,1.0133764601973518,1.01227,-1.0,4.330337078651815,,
2022-07-08 15:47:00,1.01238,1.01258,1.01217,1.01222,230.0,0,0.0,1.01421,1.0145,1.01454,0.0,0.0,0.0,1.01234,1.013073230098676,1.013073230098676,1.01217,-1.0,4.352808988764173,,
2022-07-08 15:48:00,1.01221,1.01234,1.01197,1.01211,200.0,0,0.0,1.01419,1.01446,1.01445,0.0,0.0,0.0,1.01216,1.012706615049338,1.012706615049338,1.01197,-1.0,4.36725663716825,,
2022-07-08 15:49:00,1.01212,1.01248,1.0118,1.0118,129.0,0,0.0,1.01416,1.01442,1.01434,0.0,0.0,0.0,1.01205,1.012433307524669,1.01248,1.0118,-1.0,4.295358649789046,,
2022-07-08 15:50:00,1.0118,1.01235,1.01158,1.01233,192.0,0,0.0,1.01415,1.01438,1.01427,0.0,0.0,0.0,1.01201,1.0122416537623344,1.01235,1.01158,-1.0,4.398734177215181,,
2022-07-08 15:51:00,1.01234,1.01317,1.01234,1.01311,230.0,0,0.0,1.01413,1.01436,1.01422,0.0,0.0,0.0,1.01274,1.0121258268811673,1.01317,1.0121258268811673,1.0,4.682819383259887,,
2022-07-08 15:52:00,1.0131,1.0137,1.01296,1.01367,249.0,0,0.0,1.01413,1.01435,1.0142,0.0,0.0,0.0,1.01336,1.0124329134405836,1.0137,1.0124329134405836,1.0,4.651982378854545,,
2022-07-08 15:53:00,1.01368,1.01382,1.01347,1.01366,173.0,0,0.0,1.01413,1.01434,1.01418,0.00066,0.00013,5e-05,1.01366,1.0128964567202918,1.01382,1.0128964567202918,1.0,4.596916299559422,,
2022-07-08 15:54:00,1.01367,1.0137,1.01332,1.01335,158.0,0,0.0,1.01412,1.01432,1.01415,0.00064,0.00026,8e-05,1.01351,1.013278228360146,1.0137,1.013278228360146,1.0,4.246696035242245,,
2022-07-08 15:55:00,1.01332,1.01411,1.01328,1.01403,190.0,0,0.0,1.01412,1.01432,1.01414,0.00065,0.00039,0.00012,1.01368,1.0133941141800729,1.01411,1.01328,1.0,4.125550660792894,,
2022-07-08 15:56:00,1.01402,1.01402,1.01352,1.0137,174.0,0,0.0,1.01411,1.01431,1.01412,0.00064,0.00052,0.00015,1.01381,1.0135370570900364,1.01402,1.01352,1.0,4.204845814977897,,
2022-07-08 15:57:00,1.01369,1.01463,1.01359,1.01448,204.0,0,0.0,1.01412,1.01431,1.01414,0.00067,0.00065,0.00018,1.0141,1.0136735285450182,1.01463,1.01359,1.0,4.094713656387601,,
