time,open,high,low,close,tick_volume,spread,real_volume,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,adx,di_p,di_n,heikin_close,heikin_open,heikin_high,heikin_low
2022-06-23 17:26:00,0.69086,0.69092,0.69029,0.69041,171.0,4,0.0,,,,0.0,,,0.0,0.0,0.0,0.69062,0.690635,0.69092,0.69029
2022-06-23 17:27:00,0.69041,0.6906,0.69009,0.69017,166.0,4,0.0,,,,0.0,,,0.0,0.0,0.0,0.69032,0.6906275,0.6906275,0.69009
2022-06-23 17:28:00,0.69017,0.69026,0.68989,0.68995,154.0,4,0.0,,,,0.0,,,0.0,0.0,0.0,0.69007,0.69047375,0.69047375,0.68989
2022-06-23 17:29:00,0.68996,0.69012,0.68988,0.69012,165.0,4,0.0,,,,0.0,,,0.0,0.0,0.0,0.69002,0.690271875,0.690271875,0.68988
2022-06-23 17:30:00,0.6901,0.69042,0.69005,0.69028,182.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.69021,0.6901459375,0.69042,0.69005
2022-06-23 17:31:00,0.69028,0.69059,0.69022,0.69049,178.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.6904,0.69017796875,0.69059,0.69017796875
2022-06-23 17:32:00,0.6905,0.69059,0.69007,0.69007,159.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.69031,0.690288984375,0.69059,0.69007
2022-06-23 17:33:00,0.69007,0.69011,0.68968,0.68978,196.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68991,0.6902994921875,0.6902994921875,0.68968
2022-06-23 17:34:00,0.68977,0.69001,0.68967,0.68981,199.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68982,0.6901047460937499,0.6901047460937499,0.68967
2022-06-23 17:35:00,0.68981,0.68999,0.68961,0.68997,181.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68984,0.6899623730468749,0.68999,0.68961
2022-06-23 17:36:00,0.68997,0.69001,0.68963,0.68969,160.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68982,0.6899011865234375,0.69001,0.68963
2022-06-23 17:37:00,0.6897,0.68992,0.6896,0.68985,168.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68977,0.6898605932617188,0.68992,0.6896
2022-06-23 17:38:00,0.68985,0.68986,0.68941,0.68946,177.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68964,0.6898152966308594,0.68986,0.68941
2022-06-23 17:39:00,0.68945,0.69005,0.68945,0.69005,189.0,4,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.68975,0.6897276483154298,0.69005,0.68945
2022-06-23 17:40:00,0.69006,0.69029,0.68985,0.69012,159.0,4,0.0,,,,0.00041,8e-05,,0.0,0.0,0.0,0.69008,0.6897388241577149,0.69029,0.6897388241577149
2022-06-23 17:41:00,0.69013,0.69026,0.68998,0.69022,133.0,4,0.0,,,,0.0004,0.00016,,0.0,15.27848748083798,20.592743995909814,0.69015,0.6899094120788575,0.69026,0.6899094120788575
2022-06-23 17:42:00,0.69024,0.69036,0.68995,0.69005,144.0,4,0.0,,,,0.0004,0.00024,,0.0,15.945355191256514,19.08561020036215,0.69015,0.6900297060394287,0.69036,0.68995
2022-06-23 17:43:00,0.69011,0.69049,0.69006,0.69028,144.0,4,0.0,,,,0.0004,0.00032,,0.0,17.00599947291553,17.597162006436797,0.69024,0.6900898530197144,0.69049,0.69006
2022-06-23 17:44:00,0.69027,0.69031,0.6901,0.69021,121.0,4,0.0,,,,0.00039,0.0004,,0.0,16.35059045014514,16.91896965599368,0.69022,0.6901649265098572,0.69031,0.6901
2022-06-23 17:45:00,0.69021,0.69021,0.68997,0.69014,104.0,4,0.0,,,,0.00038,0.00039,,0.0,15.610143773894524,18.60575482339527,0.69013,0.6901924632549286,0.69021,0.68997
2022-06-23 17:46:00,0.69014,0.69037,0.69014,0.69036,105.0,4,0.0,,,,0.00037,0.00039,,0.0,18.019251960091903,17.77500299135703,0.69025,0.6901612316274643,0.69037,0.69014
2022-06-23 17:47:00,0.69036,0.69088,0.69035,0.69083,91.0,4,0.0,,,,0.00038,0.00038,,0.0,25.82052897851236,16.00192087481481,0.6906,0.6902056158137322,0.69088,0.6902056158137322
