time,open,high,low,close,tick_volume,spread,real_volume
2022-06-23 17:26:00,0.69086,0.69092,0.69029,0.69041,171.0,4,0.0
2022-06-23 17:27:00,0.69041,0.6906,0.69009,0.69017,166.0,4,0.0
2022-06-23 17:28:00,0.69017,0.69026,0.68989,0.68995,154.0,4,0.0
2022-06-23 17:29:00,0.68996,0.69012,0.68988,0.69012,165.0,4,0.0
2022-06-23 17:30:00,0.6901,0.69042,0.69005,0.69028,182.0,4,0.0
2022-06-23 17:31:00,0.69028,0.69059,0.69022,0.69049,178.0,4,0.0
2022-06-23 17:32:00,0.6905,0.69059,0.69007,0.69007,159.0,4,0.0
2022-06-23 17:33:00,0.69007,0.69011,0.68968,0.68978,196.0,4,0.0
2022-06-23 17:34:00,0.68977,0.69001,0.68967,0.68981,199.0,4,0.0
2022-06-23 17:35:00,0.68981,0.68999,0.68961,0.68997,181.0,4,0.0
2022-06-23 17:36:00,0.68997,0.69001,0.68963,0.68969,160.0,4,0.0
2022-06-23 17:37:00,0.6897,0.68992,0.6896,0.68985,168.0,4,0.0
2022-06-23 17:38:00,0.68985,0.68986,0.68941,0.68946,177.0,4,0.0
2022-06-23 17:39:00,0.68945,0.69005,0.68945,0.69005,189.0,4,0.0
2022-06-23 17:40:00,0.69006,0.69029,0.68985,0.69012,159.0,4,0.0
2022-06-23 17:41:00,0.69013,0.69026,0.68998,0.69022,133.0,4,0.0
2022-06-23 17:42:00,0.69024,0.69036,0.68995,0.69005,144.0,4,0.0
2022-06-23 17:43:00,0.69011,0.69049,0.69006,0.69028,144.0,4,0.0
2022-06-23 17:44:00,0.69027,0.69031,0.6901,0.69021,121.0,4,0.0
2022-06-23 17:45:00,0.69021,0.69021,0.68997,0.69014,104.0,4,0.0
2022-06-23 17:46:00,0.69014,0.69037,0.69014,0.69036,105.0,4,0.0
2022-06-23 17:47:00,0.69036,0.69088,0.69035,0.69083,91.0,4,0.0
2022-06-23 17:48:00,0.69082,0.69098,0.69023,0.69098,203.0,4,0.0
2022-06-23 17:49:00,0.69103,0.69114,0.69034,0.69054,167.0,4,0.0
2022-06-23 17:50:00,0.69054,0.69058,0.69006,0.69032,159.0,4,0.0
2022-06-23 17:51:00,0.69033,0.69081,0.69021,0.69066,149.0,4,0.0
2022-06-23 17:52:00,0.69069,0.69131,0.69062,0.69127,175.0,4,0.0
2022-06-23 17:53:00,0.69128,0.69146,0.69103,0.69144,152.0,4,0.0
2022-06-23 17:54:00,0.69144,0.69175,0.69117,0.69166,200.0,4,0.0
2022-06-23 17:55:00,0.69166,0.69172,0.69147,0.69172,124.0,4,0.0
2022-06-23 17:56:00,0.69175,0.69175,0.6914,0.69158,128.0,4,0.0
2022-06-23 17:57:00,0.69158,0.69178,0.69154,0.69164,143.0,4,0.0
2022-06-23 17:58:00,0.69164,0.69168,0.69143,0.69145,157.0,4,0.0
2022-06-23 17:59:00,0.69148,0.69156,0.69139,0.69156,119.0,4,0.0
2022-06-23 18:00:00,0.69157,0.69157,0.69122,0.69134,192.0,4,0.0
2022-06-23 18:01:00,0.69133,0.69143,0.69122,0.69141,170.0,4,0.0
2022-06-23 18:02:00,0.6914,0.69154,0.69114,0.69114,147.0,4,0.0
2022-06-23 18:03:00,0.69114,0.69116,0.69085,0.69088,117.0,4,0.0
2022-06-23 18:04:00,0.69085,0.69118,0.6908,0.69117,136.0,4,0.0
2022-06-23 18:05:00,0.69116,0.69116,0.69085,0.69095,108.0,4,0.0
2022-06-23 18:06:00,0.69095,0.69099,0.69063,0.69083,113.0,4,0.0
2022-06-23 18:07:00,0.69081,0.69092,0.69053,0.69066,117.0,4,0.0
2022-06-23 18:08:00,0.69065,0.69078,0.69058,0.69068,117.0,4,0.0
2022-06-23 18:09:00,0.69067,0.69142,0.69066,0.69141,132.0,4,0.0
2022-06-23 18:10:00,0.69143,0.69149,0.69103,0.6913,127.0,4,0.0
2022-06-23 18:11:00,0.69128,0.69129,0.69107,0.69112,129.0,4,0.0
2022-06-23 18:12:00,0.69112,0.69134,0.69112,0.69129,127.0,4,0.0
2022-06-23 18:13:00,0.69129,0.69168,0.69127,0.69166,138.0,4,0.0
2022-06-23 18:14:00,0.69167,0.69198,0.69166,0.69169,161.0,4,0.0
2022-06-23 18:15:00,0.69168,0.69176,0.69153,0.69159,111.0,4,0.0
2022-06-23 18:16:00,0.69161,0.69182,0.69154,0.69177,124.0,4,0.0
2022-06-23 18:17:00,0.69177,0.69179,0.69149,0.69152,121.0,4,0.0
2022-06-23 18:18:00,0.69154,0.69154,0.6914,0.69151,100.0,4,0.0
2022-06-23 18:19:00,0.6915,0.6915,0.69127,0.69135,96.0,4,0.0
2022-06-23 18:20:00,0.69135,0.6916,0.69118,0.69131,139.0,4,0.0
2022-06-23 18:21:00,0.69131,0.69131,0.69095,0.69095,124.0,4,0.0
2022-06-23 18:22:00,0.69094,0.69098,0.69083,0.69091,107.0,4,0.0
2022-06-23 18:23:00,0.69091,0.69091,0.69056,0.69056,140.0,4,0.0
2022-06-23 18:24:00,0.69056,0.69061,0.69037,0.69037,149.0,4,0.0
2022-06-23 18:25:00,0.6904,0.69069,0.69038,0.69066,134.0,4,0.0
2022-06-23 18:26:00,0.69067,0.69071,0.69054,0.69069,130.0,4,0.0
2022-06-23 18:27:00,0.69068,0.69091,0.69062,0.69073,119.0,4,0.0
2022-06-23 18:28:00,0.69072,0.69092,0.69067,0.69077,136.0,4,0.0
2022-06-23 18:29:00,0.69076,0.69077,0.69061,0.6907,94.0,4,0.0
2022-06-23 18:30:00,0.69071,0.69091,0.69056,0.69071,181.0,4,0.0
2022-06-23 18:31:00,0.69071,0.69074,0.69041,0.69041,113.0,4,0.0
